reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,country,bank,app_id
14f00675-98c7-49e1-b331-3acf23dceae6,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Τρισάθλιο ... Ανάλογο της τράπεζας .. Ελλάδα 1950 Τρίτη φορά μου κλειδωνει το e-banking ... Δύο φορές οι κάρτες έρχονται απενεργοποίημένες .. Α Π Α Ρ Α Δ Ε Κ Τ Η . . .,1,0,6.4.3 (2024062001),2026-05-08 22:29:57,,,6.4.3 (2024062001),Greece,NBG,mbanking.NBG
c9a6a647-35cb-4f13-8d68-4a649d026084,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,θα μπορούσατε και καλύτερα!,4,0,10.1.35,2026-05-08 14:22:41,,,10.1.35,Greece,NBG,mbanking.NBG
a8ca438a-f55e-422a-b85b-34eaa5dee749,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,it's okay,5,0,10.1.35,2026-05-08 12:01:09,,,10.1.35,Greece,NBG,mbanking.NBG
38efd0ca-94fe-4306-b669-272eeed2647f,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,δεν κρατάει ιστορικό μεγάλο για τις συναλλαγές που έχεις πραγματοποίηση δεν υπάρχει η δυνατότητα υπολογισμού πχ εξόδων ανά Μηνά,1,0,10.1.35,2026-05-08 11:28:59,,,10.1.35,Greece,NBG,mbanking.NBG
ee1c972f-834e-4276-ac22-30d0d5a82ba5,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Εδώ και 45 ημέρες προσπαθώ να στείλω έμβασμα στο εξωτερικο (Γαλλία, χώρα SEPA), ακολουθώ την διαδικασία και στο τέλος η ""Σοφία"" μου ζητάει συνεχώς να δώσω και να ξαναδώσω τους κωδικούς πρόσβασης και το ΟΤP. Τους δίδω, αλλά δεν προχωράει η διαδικασία αποστολής εμβασματος. Στην τελευταια μου προσπάθεια, η Σοφία μου είπε οτι πρέπει να ζητήσω ραντεβού σε Τράπεζα της ΕΤΕ. Ημαρτον!!!. Σοφία Μαλλη",3,0,10.1.36,2026-05-08 11:09:59,,,10.1.36,Greece,NBG,mbanking.NBG
0df7c4fa-108e-49cc-b5bf-68fe0915ea0b,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,π0λυ καλη,5,0,10.1.35,2026-05-07 21:57:21,Καλησπέρα σας! Ευχαριστούμε πολύ για τη θετική σας αξιολόγηση 😊,2026-05-08 11:19:18,10.1.35,Greece,NBG,mbanking.NBG
d426c617-ad8b-43d2-a704-5af51bc995eb,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ότι χειρότερο υπαρχει,1,0,10.1.35,2026-05-07 21:54:33,"Καλησπέρα σας! Αν αντιμετωπίζετε κάποιο συγκεκριμένο θέμα, μπορείτε να μας στείλετε μια σύντομη περιγραφή στο mobilebanking@nbg.gr, ώστε να το δούμε μαζί και να σας βοηθήσουμε.",2026-05-08 11:52:07,10.1.35,Greece,NBG,mbanking.NBG
05b6398f-da0a-4e74-b08d-6d1648bbf849,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Προσπαθούσα κυριολεκτικά 1 ώρα να δημιουργήσω νεό λογαριασμό. Νόμιζα πως κάτι έχει το κινητό μου, αλλά και από άλλο κινητό η εφαρμογή έκανε τα ίδια. Τελικά πήρα τηλέφωνο σε εκπρόσωπο της τράπεζας. Μετά από ακόμα μερικές αποτυχημένες προσπάθειες, ο εκπρόσωπος μου είπε πως κόλλησε το σύστημα και να δοκιμάσω άλλη φορά. 1 αστέρι λοιπόν για την ταλαιπωρία. Φτιάξε το! Επίσης,κάθε μήνα 0,80€ χρέωση σαν ""ΜΗΝΙΑΙΟ ΠΑΓΙΟ ΠΡΟΝΟΜΙΩΝ"" ή ""ΠΡΟΜΗΘΕΙΑ"" το θεωρώ απαράδεκτο και απληστία!",1,1,10.1.35,2026-05-07 21:53:18,"Καλησπέρα σας. Παρακαλούμε στείλτε μας τα στοιχεία σας (ΑΔΤ, ονοματεπώνυμο, κινητό, αναλυτική περιγραφή του προβλήματος που παρουσιάζεται/screenshots, συσκευή και έκδοση Android που έχετε στο κινητό σας) στο mobilebanking@nbg.gr για να το διερευνήσουμε.",2023-11-06 14:21:57,10.1.35,Greece,NBG,mbanking.NBG
1688a66a-97e6-4663-8be6-2ad88c6ae02a,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Δύσχρηστη και μόνιμα κολλάει.,1,0,10.1.35,2026-05-07 18:39:32,"Καλησπέρα σας! Λυπούμαστε που η εμπειρία σας δεν είναι η αναμενόμενη. Αν αντιμετωπίζετε κάποιο συγκεκριμένο θέμα, μπορείτε να μας στείλετε μια σύντομη περιγραφή στο mobilebanking@nbg.gr, ώστε να το δούμε μαζί και να σας βοηθήσουμε.",2026-05-08 11:51:25,10.1.35,Greece,NBG,mbanking.NBG
45e0e1f2-0839-4295-9007-414bcfb0f1a7,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,πολλά προβλήματα τον τελευταίο καιρό. χρειάζεται τάμα στην Παναγία για να πραγματοποιηθεί μια συναλλαγη,1,0,10.1.35,2026-05-07 17:57:37,"Καλησπέρα σας! Λυπούμαστε που η εμπειρία σας δεν είναι η αναμενόμενη. Αν αντιμετωπίζετε κάποιο συγκεκριμένο πρόβλημα με τις συναλλαγές, μπορείτε να μας στείλετε μια σύντομη περιγραφή στο mobilebanking@nbg.gr
ώστε να το διερευνήσουμε και να σας βοηθήσουμε πιο συγκεκριμένα.",2026-05-08 11:48:29,10.1.35,Greece,NBG,mbanking.NBG
