reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,country,bank,app_id
a0f2b90e-343f-4b91-9e27-1cd6b843ebdc,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,τελειο,5,0,2.66.0-rc2_2500c3ab_LIVE,2026-05-08 17:58:34,,,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
8b495ecb-9c46-46b1-a310-9a9f8e2c3ff5,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Κατανοητό και εύκολο στην χρήση.,4,1,2.66.0-rc2_2500c3ab_LIVE,2026-05-08 10:27:36,Σας ευχαριστούμε για το σχόλιο.,2026-05-08 10:50:42,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
1a2207eb-5c19-44f7-bd37-a989c611d39d,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ΟΚ,5,0,2.66.0-rc2_2500c3ab_LIVE,2026-05-08 08:46:37,Thank you for the rating.,2026-05-08 09:54:09,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
9b06fe57-63d1-4b1f-b887-c1db48ec5cb7,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ευκολη διαχειριση,5,0,2.66.0-rc2_2500c3ab_LIVE,2026-05-07 14:18:00,Σας ευχαριστούμε για το σχόλιο.,2026-05-07 15:01:21,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
61a72c12-a7b3-4617-a283-3cc826aca5ed,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,καλή εφαρμογή σχετικα εύχρηστη αλλά βάλτε push notification όταν γίνεται πχ κατάθεση μισθοδοσίας να σου έρχεται ειδοποίηση απευθείας από την εφαρμογή .,3,1,2.66.0-rc2_2500c3ab_LIVE,2026-05-07 12:05:25,"Σας ευχαριστούμε για το σχόλιο. Κατανοούμε την επιθυμία για ειδοποιήσεις push και έχουμε λάβει υπόψη το σχόλιό σας ως πιθανή βελτίωση. Υπενθυμίζουμε ότι υπάρχει πακέτο Piraeus alerts το οποίο προσφέρει δωρεάν ειδοποιήσεις μέσω email.

",2026-05-07 13:29:02,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
d7a2e183-f296-4849-81da-2ef313a8b012,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,απαράδεκτη βοήθεια και εξυπηρέτηση,1,0,2.66.0-rc2_2500c3ab_LIVE,2026-05-06 22:12:03,"Στόχος μας είναι να προσφέρουμε την καλύτερη εξυπηρέτηση και να βελτιώνουμε συνεχώς τις υπηρεσίες μας. Για οποιοδήποτε ζήτημα σχετικά με την εφαρμογή μπορείτε να επικοινωνήσετε μαζί μας στο supportebanking@piraeusbank.gr. Εναλλακτικά, μπορείτε να χρησιμοποιήσετε τη φόρμα επικοινωνίας που θα βρείτε στο Προφίλ σας. Ευχαριστούμε.",2026-05-07 10:15:24,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
ecf4e125-2c8c-4e26-808c-8833fe93e43f,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Γενικά αντί για να τα κάνετε πιο εύκολα τα κάνετε πιο δύσκολα... όλα...έτσι και πέσει το ίντερνετ θα γκρεμιστεί το σύμπαν!!! Έλεος,1,1,2.66.0-rc2_2500c3ab_LIVE,2026-05-06 22:03:09,"Απλότητα και ευκολία στην πλοήγηση, είναι οι βασικές αρχές στη σχεδίαση της εφαρμογής. Επειδή η γνώμη και οι προτάσεις σας είναι σημαντικές για τη βελτίωση της εφαρμογής. Επικοινωνήστε τις προτάσεις βελτίωσης ή οποιοδήποτε πρόβλημα στο supportebanking@piraeusbank.gr. Ευχαριστούμε.",2026-05-07 10:17:47,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
e991a077-bfda-41aa-910e-498e9c48df05,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,πολύ δύσκολη η εγγραφή online,2,0,2.66.0-rc2_2500c3ab_LIVE,2026-05-06 16:48:51,Επειδή η γνώμη και οι προτάσεις σας είναι σημαντικές για τη βελτίωση της εφαρμογής. Επικοινωνήστε τις προτάσεις βελτίωσης ή οποιοδήποτε πρόβλημα στο supportebanking@piraeusbank.gr. Ευχαριστούμε.,2026-05-07 10:19:03,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
746a1224-c0ba-45dc-808d-9596c7ed524d,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,άψογη εξυπηρέτηση on line εύκολα και γρήγορα έκανα επικοιροπηειση είμαι ευχαριστημένος συγχαρητήρια pireus Bank,5,1,2.66.0-rc2_2500c3ab_LIVE,2026-05-06 09:44:14,Σας ευχαριστούμε για το σχόλιο.,2026-05-06 09:56:56,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
b5052199-a0e2-4c53-bae2-1e179fc96536,Ένας χρήστης του Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Η εφαρμογή δεν λειτουργεί,1,1,2.66.0-rc2_2500c3ab_LIVE,2026-05-05 15:33:12,"Στόχος μας είναι να διασφαλίσουμε την απρόσκοπτη λειτουργία της εφαρμογής και τη συνεχή βελτίωσή της. Εάν εξακολουθείτε να αντιμετωπίζετε πρόβλημα με την εφαρμογή, μπορείτε να επικοινωνήσετε μαζί μας στο supportebanking@piraeusbank.gr. Ευχαριστούμε.",2026-05-06 10:04:12,2.66.0-rc2_2500c3ab_LIVE,Greece,Piraeus,gr.winbank.mobile.redesign
